Membership No  Date Joined  Active  
    19429      2017-3-7     yes   
    98621      2016-9-7     yes   
    46185      2018-9-19    yes   
    10856      2018-3-21    yes   
    52583      2016-10-24   no    
    29169      2015-2-24    yes   
    45391      2015-12-4    yes   
    56106      2016-1-23    yes   
    85372      2016-12-17   yes   
    54822      2019-11-17   yes   
    35347      2015-11-11   yes   
    99406      2018-11-13   yes   
    67414      2017-10-6    yes   
    96328      2018-4-14    no    
    63298      2017-6-21    yes   
    35870      2015-3-24    no    
    75687      2017-2-24    no    
    76216      2019-2-12    no    
    65167      2020-7-2     yes   
    93066      2020-10-18   no    
