Membership No  Date Joined  Active  
    98795      2019-4-15    yes   
    58448      2019-12-4    no    
    56569      2019-2-20    no    
    24919      2018-4-15    no    
    83176      2017-6-1     no    
    87447      2017-4-6     yes   
    70508      2016-12-17   no    
    74946      2018-11-4    yes   
    82106      2020-10-10   no    
    94001      2019-6-18    yes   
    14578      2015-6-24    yes   
    72424      2015-1-16    yes   
    23654      2018-2-8     no    
    27755      2018-2-24    no    
    35033      2020-3-7     yes   
    73555      2018-2-6     no    
    19066      2015-8-7     yes   
    52580      2018-2-4     no    
    76485      2016-11-5    no    
    76686      2019-6-1     yes   
